source_path,target_path,hash,subject,course,module,status,duplicate_of
C:\class\oreillyBooks\Prompt Engineering for Generative Al.pdf,files/ai-llm-prompt-engineering/llm-prompt-engineering/Prompt Engineering for Generative Al.pdf,302d75fde6894fd2d667eb3557cf95eed350bf44302b69ef4fc0545c7d0060f5,AI / LLM / Prompt Engineering,LLM & Prompt Engineering,Prompt Engineering for Generative Al,imported,
C:\class\oreillyBooks\Prompt_Engineering_for_Generative_AI.pdf,files/ai-llm-prompt-engineering/llm-prompt-engineering/Prompt_Engineering_for_Generative_AI.pdf,8a43378b6cfe561c0d7e256ab21b703ba8fe970c278b4065e06654e3efbf3746,AI / LLM / Prompt Engineering,LLM & Prompt Engineering,Prompt Engineering for Generative AI,imported,
C:\class\oreillyBooks\Python Object-Oriented Programming - Fourth Edition part one.pdf,files/programming-languages/python-oop-4th-edition/Python Object-Oriented Programming - Fourth Edition part one.pdf,49fdb8eecf5ba17ffc8d22401195c1c0c8fd64ccba0293ee57eca8ca25c3b422,Programming languages,Python OOP (4th Edition),Python Object-Oriented Programming - Fourth Edition part one,imported,
C:\class\oreillyBooks\Python Object-Oriented Programming part two.pdf,files/programming-languages/python-oop-4th-edition/Python Object-Oriented Programming part two.pdf,30588afc547504b0990195796a416a682e196e0ac1b302bcef982f1af5ca477c,Programming languages,Python OOP (4th Edition),Python Object-Oriented Programming part two,imported,
C:\class\oreillyBooks\Software Architecture_ The Hard Parts.pdf,files/software-architecture-design/software-architecture-library/Software Architecture_ The Hard Parts.pdf,8a26c4a7be9832fae704fe13b3f97b5e0d35f3fda8a617819b899e2d5a156d78,Software Architecture & Design,Software Architecture Library,Software Architecture  The Hard Parts,imported,
C:\class\oreillyBooks\Software Engineering for Embedded and Real-Time Systems.pdf,files/fundamentals-of-software-engineering/fundamentals-of-software-engineering/Software Engineering for Embedded and Real-Time Systems.pdf,2bcdb189361060307d7af5e41a3605ff166147d14bd98ac6b46ac193f1e7eaaf,Fundamentals of Software Engineering,Fundamentals of Software Engineering,Software Engineering for Embedded and Real-Time Systems,imported,
C:\class\oreillyBooks\Software_Architecture_The_Hard_Parts.pdf,files/software-architecture-design/software-architecture-library/Software_Architecture_The_Hard_Parts.pdf,785c2b4eab2d330b53931913b7a400ee5404041bc1ceb90e859216fe4dadd2b3,Software Architecture & Design,Software Architecture Library,Software Architecture The Hard Parts,imported,
C:\class\oreillyBooks\The Big Book of Small Python Projects.pdf,files/fun/fun-coding-projects/The Big Book of Small Python Projects.pdf,085f9aff5b21291c6a89f996f8fb007ce01e773b341628b82c381758413b44c6,fun,Fun Coding Projects,The Big Book of Small Python Projects,imported,
C:\class\oreillyBooks\The Effective Software Engineer.pdf,files/fundamentals-of-software-engineering/fundamentals-of-software-engineering/The Effective Software Engineer.pdf,ea25b329aecd2ccaf758d704cd5261273c5873752330ec200b370107b4200015,Fundamentals of Software Engineering,Fundamentals of Software Engineering,The Effective Software Engineer,imported,
C:\class\oreillyBooks\The staff engineerings path.pdf,files/leadership-soft-skills/leadership-soft-skills/The staff engineerings path.pdf,d2d388aaee71a0e1aa30004ed469d6baad6b5ad4711661015c68f0d8beed1198,Leadership & Soft Skills,Leadership & Soft Skills,The staff engineerings path,imported,
C:\class\oreillyBooks\unfinishedLLM Engineer’s Handbook.pdf,files/ai-llm-prompt-engineering/llm-prompt-engineering/unfinishedLLM Engineer’s Handbook.pdf,a1e3014ebbd561d9a82554f3f64398fa00b352ce6a84d7705e521bdb199bb7c5,AI / LLM / Prompt Engineering,LLM & Prompt Engineering,unfinishedLLM Engineer’s Handbook,imported,
C:\class\oreillyBooks\What Would You Say You Do Here.pdf,files/leadership-soft-skills/leadership-soft-skills/What Would You Say You Do Here.pdf,04e425539b8f4328b6bd1ac12a5765388f8bd0eea247f90cac7eff1a747eb32a,Leadership & Soft Skills,Leadership & Soft Skills,What Would You Say You Do Here,imported,
C:\class\oreillyBooks\_Deep Learning for Coders with fastai and PyTorch.pdf,files/machine-learning/pytorch/_Deep Learning for Coders with fastai and PyTorch.pdf,9530710aa76c84645072c25904fbee446ae77d5120f7d992ce3fe4f53721b7f8,Machine Learning,PyTorch,Deep Learning for Coders with fastai and PyTorch,imported,
C:\class\oreillyBooks\_Introducing C++.pdf,,,,,,skipped_config,
